"Marijuana_Arrest Type","Adult/Juvenile","Arrest Year","Arrest Date","Arrest Time","Age","Defendant Race","Defendant Sex","Charge Description"
"Possession","Juvenile",2012,"1/9/2012","Juvenile","Juvenile","Juvenile","Juvenile","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/10/2012","8:55:00","21","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/10/2012","16:36:00","39","B","M","Ucsa Possession Marijuana"
"Possession with intent to distribute","Adult",2012,"1/10/2012","16:45:00","25","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2012,"1/10/2012","16:55:00","65","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/10/2012","17:16:00","67","B","F","Ucsa Possession Marijuana"
"Possession with intent to distribute","Adult",2012,"1/10/2012","18:00:00","21","B","M","Ucsa Pwid Marijuana"
"Possession with intent to distribute","Adult",2012,"1/10/2012","19:45:00","18","B","M","Ucsa Pwid Marijuana"
"Possession with intent to distribute","Adult",2012,"1/10/2012","20:55:00","28","W","M","Ucsa Pwid Marijuana"
"Possession","Adult",2012,"1/10/2012","21:30:00","56","B","F","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/10/2012","21:50:00","30","B","M","Ucsa Possession Marijuana"
"Possession","Juvenile",2012,"1/10/2012","Juvenile","Juvenile","Juvenile","Juvenile","Ucsa Possession Marijuana"
"Possession with intent to distribute","Adult",2012,"1/11/2012","11:20:00","25","B","F","Ucsa Pwid Marijuana"
"Possession","Adult",2012,"1/11/2012","15:10:00","29","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/11/2012","15:50:00","31","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/11/2012","15:57:00","35","U","M","Ucsa Possession Marijuana"
"Possession with intent to distribute","Adult",2012,"1/11/2012","16:00:00","29","U","M","Ucsa Pwid Marijuana"
"Possession with intent to distribute","Adult",2012,"1/11/2012","21:05:00","36","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2012,"1/11/2012","21:07:00","37","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/11/2012","21:45:00","23","B","M","Ucsa Possession Marijuana"
"Distribution","Juvenile",2012,"1/11/2012","Juvenile","Juvenile","Juvenile","Juvenile","Ucsa Distributing Marijuana"
"Possession","Adult",2012,"1/12/2012","2:45:00","23","W","F","Ucsa Possession Marijuana"
"Possession with intent to distribute","Adult",2012,"1/12/2012","12:37:00","25","B","M","Ucsa Pwid Marijuana"
"Distribution","Adult",2012,"1/12/2012","16:17:00","20","B","M","Ucsa Distributing Marijuana"
"Possession","Adult",2012,"1/12/2012","16:24:00","27","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/12/2012","16:30:00","49","U","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/12/2012","17:21:00","31","B","M","Ucsa Possession Marijuana"
"Possession with intent to distribute","Adult",2012,"1/12/2012","19:00:00","20","B","M","Ucsa Pwid Marijuana"
"Possession with intent to distribute","Adult",2012,"1/12/2012","19:00:00","35","B","F","Ucsa Pwid Marijuana"
"Possession with intent to distribute","Adult",2012,"1/12/2012","19:00:00","41","B","M","Ucsa Pwid Marijuana"
"Distribution","Adult",2012,"1/12/2012","19:29:00","45","B","M","Ucsa Distributing Marijuana"
"Possession","Adult",2012,"1/12/2012","19:50:00","29","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/12/2012","20:15:00","25","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/12/2012","20:30:00","43","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/12/2012","20:30:00","43","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/12/2012","20:50:00","35","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/13/2012","16:05:00","24","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/13/2012","16:10:00","32","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/13/2012","17:15:00","22","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/13/2012","17:40:00","28","B","F","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/13/2012","17:40:00","46","B","F","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/13/2012","17:40:00","47","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/13/2012","18:05:00","23","B","F","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/13/2012","18:05:00","24","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/13/2012","19:00:00","36","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/13/2012","19:10:00","29","W","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/13/2012","21:28:00","21","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/13/2012","22:35:00","18","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/13/2012","22:35:00","18","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/14/2012","13:24:00","32","B","F","Ucsa Possession Marijuana"
"Distribution","Adult",2012,"1/14/2012","13:27:00","48","B","M","Ucsa Distributing Marijuana"
"Distribution","Adult",2012,"1/14/2012","13:28:00","21","B","M","Ucsa Distributing Marijuana"
"Distribution","Adult",2012,"1/14/2012","13:42:00","24","B","M","Ucsa Distributing Marijuana"
"Possession with intent to distribute","Adult",2012,"1/14/2012","14:00:00","18","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2012,"1/14/2012","14:00:00","23","B","M","Ucsa Possession Marijuana"
"Possession with intent to distribute","Adult",2012,"1/14/2012","14:25:00","21","B","F","Ucsa Pwid Marijuana"
"Possession with intent to distribute","Adult",2012,"1/14/2012","14:25:00","24","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2012,"1/14/2012","16:00:00","27","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/14/2012","16:13:00","28","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/14/2012","16:15:00","21","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/14/2012","16:15:00","33","B","F","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/14/2012","16:19:00","31","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/14/2012","17:30:00","25","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/14/2012","17:30:00","26","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/14/2012","17:30:00","42","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/14/2012","17:32:00","22","B","F","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/14/2012","17:32:00","54","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/14/2012","20:05:00","27","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/14/2012","20:37:00","35","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/14/2012","21:30:00","53","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/14/2012","22:20:00","25","B","M","Ucsa Possession Marijuana"
"Possession","Juvenile",2012,"1/14/2012","Juvenile","Juvenile","Juvenile","Juvenile","Ucsa Possession Marijuana"
"Possession with intent to distribute","Adult",2012,"1/15/2012","19:20:00","27","B","M","Ucsa Pwid Marijuana"
"Possession with intent to distribute","Adult",2012,"1/15/2012","19:50:00","31","B","M","Ucsa Pwid Marijuana"
"Possession with intent to distribute","Adult",2012,"1/15/2012","23:25:00","31","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2012,"1/16/2012","1:05:00","42","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/16/2012","15:52:00","50","B","M","Ucsa Possession Marijuana"
"Possession with intent to distribute","Adult",2012,"1/17/2012","17:50:00","18","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2012,"1/17/2012","21:45:00","20","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/18/2012","16:30:00","24","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/18/2012","16:40:00","49","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/18/2012","17:02:00","29","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/18/2012","17:02:00","32","B","M","Ucsa Possession Marijuana"
"Possession with intent to distribute","Adult",2012,"1/18/2012","17:02:00","44","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2012,"1/18/2012","17:49:00","48","B","M","Ucsa Possession Marijuana"
"Possession with intent to distribute","Adult",2012,"1/18/2012","18:40:00","24","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2012,"1/18/2012","19:20:00","22","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/18/2012","20:45:00","26","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/18/2012","21:10:00","48","W","F","Ucsa Possession Marijuana"
"Possession with intent to distribute","Adult",2012,"1/18/2012","23:00:00","29","B","M","Ucsa Pwid Marijuana"
"Possession with intent to distribute","Juvenile",2012,"1/18/2012","Juvenile","Juvenile","Juvenile","Juvenile","Ucsa Pwid Marijuana"
"Possession","Adult",2012,"1/19/2012","0:11:00","20","W","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/19/2012","7:20:00","25","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/19/2012","11:25:00","20","B","M","Ucsa Possession Marijuana"
"Possession with intent to distribute","Adult",2012,"1/19/2012","12:00:00","25","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2012,"1/19/2012","18:20:00","33","B","M","Ucsa Possession Marijuana"
"Distribution","Adult",2012,"1/19/2012","18:33:00","33","B","M","Ucsa Distributing Marijuana"
"Possession","Adult",2012,"1/19/2012","21:00:00","27","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/19/2012","23:50:00","19","B","F","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/19/2012","23:50:00","19","W","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/20/2012","14:20:00","35","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/20/2012","15:45:00","21","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/20/2012","18:45:00","23","B","F","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/20/2012","18:45:00","65","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/20/2012","23:10:00","41","B","M","Ucsa Possession Marijuana"
"Possession with intent to distribute","Adult",2012,"1/20/2012","23:23:00","22","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2012,"1/21/2012","1:00:00","39","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/21/2012","1:15:00","56","B","M","Ucsa Possession Marijuana"
"Possession with intent to distribute","Adult",2012,"1/21/2012","7:35:00","36","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2012,"1/21/2012","17:20:00","18","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/21/2012","17:20:00","48","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/21/2012","21:10:00","24","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/21/2012","22:20:00","25","B","M","Ucsa Possession Marijuana"
"Possession","Juvenile",2012,"1/21/2012","Juvenile","Juvenile","Juvenile","Juvenile","Ucsa Possession Marijuana"
"Possession with intent to distribute","Adult",2012,"1/22/2012","1:36:00","20","U","M","Ucsa Pwid Marijuana"
"Possession","Adult",2012,"1/22/2012","15:00:00","50","B","M","Ucsa Possession Marijuana"
"Distribution","Adult",2012,"1/22/2012","18:30:00","18","B","M","Ucsa Distributing Marijuana"
"Possession","Juvenile",2012,"1/22/2012","Juvenile","Juvenile","Juvenile","Juvenile","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/23/2012","2:20:00","35","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/23/2012","15:34:00","19","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/23/2012","16:00:00","25","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/24/2012","13:55:00","46","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/24/2012","15:50:00","40","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/24/2012","16:58:00","65","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/24/2012","17:10:00","51","U","M","Ucsa Possession Marijuana"
"Possession with intent to distribute","Adult",2012,"1/24/2012","17:38:00","22","U","M","Ucsa Pwid Marijuana"
"Possession","Adult",2012,"1/24/2012","18:18:00","39","B","M","Ucsa Possession Marijuana"
"Possession with intent to distribute","Adult",2012,"1/24/2012","18:35:00","35","B","M","Ucsa Pwid Marijuana"
"Possession with intent to distribute","Adult",2012,"1/24/2012","18:35:00","59","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2012,"1/24/2012","20:20:00","52","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/24/2012","20:35:00","46","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/24/2012","21:30:00","20","B","F","Ucsa Possession Marijuana"
"Possession","Juvenile",2012,"1/24/2012","Juvenile","Juvenile","Juvenile","Juvenile","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/25/2012","0:07:00","34","W","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/25/2012","12:43:00","69","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/25/2012","14:40:00","28","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/25/2012","15:00:00","18","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/25/2012","16:20:00","27","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/25/2012","16:50:00","57","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/25/2012","16:57:00","22","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/25/2012","17:30:00","26","B","M","Ucsa Possession Marijuana"
"Possession with intent to distribute","Adult",2012,"1/25/2012","19:06:00","18","B","M","Ucsa Pwid Marijuana"
"Possession with intent to distribute","Adult",2012,"1/25/2012","19:06:00","20","B","F","Ucsa Pwid Marijuana"
"Possession with intent to distribute","Adult",2012,"1/25/2012","19:06:00","21","B","M","Ucsa Pwid Marijuana"
"Possession with intent to distribute","Adult",2012,"1/25/2012","19:06:00","23","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2012,"1/25/2012","19:22:00","31","B","M","Ucsa Possession Marijuana"
"Possession with intent to distribute","Adult",2012,"1/25/2012","19:35:00","26","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2012,"1/25/2012","20:00:00","27","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/25/2012","20:35:00","24","B","M","Ucsa Possession Marijuana"
"Possession with intent to distribute","Adult",2012,"1/25/2012","21:11:00","41","B","M","Ucsa Pwid Marijuana"
"Distribution","Juvenile",2012,"1/25/2012","Juvenile","Juvenile","Juvenile","Juvenile","Ucsa Conspiracy To Distribute Marijuana"
"Distribution","Juvenile",2012,"1/25/2012","Juvenile","Juvenile","Juvenile","Juvenile","Ucsa Distributing Marijuana"
"Possession","Adult",2012,"1/26/2012","1:48:00","21","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/26/2012","1:50:00","32","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/26/2012","2:17:00","31","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/26/2012","17:40:00","46","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/26/2012","18:40:00","47","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2012,"1/26/2012","19:10:00","21","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/26/2012","19:55:00","21","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/26/2012","20:05:00","23","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/26/2012","20:50:00","32","B","F","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/26/2012","21:00:00","29","U","F","Ucsa Possession Marijuana"
"Distribution","Adult",2012,"1/26/2012","21:18:00","32","B","M","Ucsa Distributing Marijuana"
"Possession","Adult",2012,"1/26/2012","21:30:00","41","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/26/2012","21:45:00","20","U","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/26/2012","22:00:00","31","U","M","Ucsa Possession Marijuana"
"Possession with intent to distribute","Adult",2012,"1/26/2012","23:50:00","28","B","M","Ucsa Pwid Marijuana"
"Possession","Juvenile",2012,"1/26/2012","Juvenile","Juvenile","Juvenile","Juvenile","Ucsa Possession Marijuana"
"Possession with intent to distribute","Adult",2012,"1/27/2012","12:50:00","34","B","F","Ucsa Pwid Marijuana"
"Possession with intent to distribute","Adult",2012,"1/27/2012","13:30:00","37","B","M","Ucsa Pwid Marijuana"
"Distribution","Adult",2012,"1/27/2012","15:15:00","27","B","M","Ucsa Distributing Marijuana"
"Possession","Adult",2012,"1/27/2012","17:40:00","53","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/27/2012","18:22:00","28","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/27/2012","18:22:00","30","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/27/2012","19:05:00","18","U","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/27/2012","20:00:00","43","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/27/2012","20:30:00","26","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/27/2012","20:30:00","34","B","M","Ucsa Possession Marijuana"
"Possession","Juvenile",2012,"1/27/2012","Juvenile","Juvenile","Juvenile","Juvenile","Ucsa Possession Marijuana"
"Possession","Juvenile",2012,"1/27/2012","Juvenile","Juvenile","Juvenile","Juvenile","Ucsa Possession Marijuana"
"Possession","Juvenile",2012,"1/27/2012","Juvenile","Juvenile","Juvenile","Juvenile","Ucsa Possession Marijuana"
"Possession with intent to distribute","Adult",2012,"1/28/2012","0:05:00","19","B","M","Ucsa Pwid Marijuana"
"Possession with intent to distribute","Adult",2012,"1/28/2012","1:00:00","20","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2012,"1/28/2012","12:40:00","32","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/28/2012","12:45:00","23","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/28/2012","15:54:00","20","B","M","Ucsa Possession Marijuana"
"Possession with intent to distribute","Adult",2012,"1/28/2012","16:00:00","21","B","M","Ucsa Pwid Marijuana"
"Possession with intent to distribute","Adult",2012,"1/28/2012","17:50:00","41","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2012,"1/28/2012","18:00:00","23","B","M","Ucsa Possession Marijuana"
